"","group","type","units","Last 10-year average","year","amount"
"1","Total foods ","U.S. imports","Percent","5.8585478330000003","2023","-2.7076238429999999"
"2","Total foods ","U.S. imports","Percent","5.8585478330000003","2022","13.91059184"
"3","Total foods ","U.S. imports","Percent","5.8585478330000003","2021","17.890393979999999"
"4","Total foods ","U.S. imports","Percent","5.8585478330000003","2020","3.0954652920000001"
"5","Total foods ","U.S. imports","Percent","5.8585478330000003","2019","1.483576164"
"6","Total foods ","U.S. imports","Percent","5.8585478330000003","2018","6.3876359010000003"
"7","Total foods ","U.S. imports","Percent","5.8585478330000003","2017","6.5129465409999998"
"8","Total foods ","U.S. imports","Percent","5.8585478330000003","2016","1.6471483309999999"
"9","Total foods ","U.S. imports","Percent","5.8585478330000003","2015","1.213365045"
"10","Total foods ","U.S. imports","Percent","5.8585478330000003","2014","9.151979077"
"11","Total foods ","U.S. imports","Percent","5.8585478330000003","2013","2.6231797889999999"
"12","Total foods ","U.S. imports","Percent","5.8585478330000003","2012","3.9430742379999999"
"13","Total foods ","U.S. imports","Percent","5.8585478330000003","2011","18.1771812"
"14","Total foods ","U.S. imports","Percent","5.8585478330000003","2010","12.62559927"
"15","Total foods ","U.S. imports","Percent","5.8585478330000003","2009","-8.7395460620000005"
"16","Total foods ","U.S. imports","Percent","5.8585478330000003","2008","9.9284063939999996"
"17","Total foods ","U.S. imports","Percent","5.8585478330000003","2007","8.3927133959999995"
"18","Total foods ","U.S. imports","Percent","5.8585478330000003","2006","9.9500639230000001"
"19","Total foods ","U.S. imports","Percent","5.8585478330000003","2005","10.26846804"
"20","Total foods ","U.S. imports","Percent","5.8585478330000003","2004","11.327797889999999"
"21","Total foods ","U.S. imports","Percent","5.8585478330000003","2003","12.38437965"
"22","Total foods ","U.S. imports","Percent","5.8585478330000003","2002","6.7111734150000002"
"23","Total foods ","U.S. imports","Percent","5.8585478330000003","2001","1.299003632"
"24","Total foods ","U.S. imports","Percent","5.8585478330000003","2000","4.7640881310000003"
"25","Total foods ","U.S. imports","Percent","5.8585478330000003","1999",NA
"26","Foods","Beverages ","Percent","4.5298404479999999","2023","-4.179276861"
"27","Foods","Beverages ","Percent","4.5298404479999999","2022","0.806916737"
"28","Foods","Beverages ","Percent","4.5298404479999999","2021","15.05891838"
"29","Foods","Beverages ","Percent","4.5298404479999999","2020","0.56569764199999995"
"30","Foods","Beverages ","Percent","4.5298404479999999","2019","3.1246181059999998"
"31","Foods","Beverages ","Percent","4.5298404479999999","2018","4.2560753179999997"
"32","Foods","Beverages ","Percent","4.5298404479999999","2017","6.6556049829999999"
"33","Foods","Beverages ","Percent","4.5298404479999999","2016","5.6224929939999999"
"34","Foods","Beverages ","Percent","4.5298404479999999","2015","6.8244540919999999"
"35","Foods","Beverages ","Percent","4.5298404479999999","2014","6.5629030869999996"
"36","Foods","Beverages ","Percent","4.5298404479999999","2013","3.4553315659999999"
"37","Foods","Beverages ","Percent","4.5298404479999999","2012","7.2361454289999996"
"38","Foods","Beverages ","Percent","4.5298404479999999","2011","9.3320399690000002"
"39","Foods","Beverages ","Percent","4.5298404479999999","2010","6.6487202019999998"
"40","Foods","Beverages ","Percent","4.5298404479999999","2009","-11.67344613"
"41","Foods","Beverages ","Percent","4.5298404479999999","2008","-0.89583049299999995"
"42","Foods","Beverages ","Percent","4.5298404479999999","2007","7.9849427989999997"
"43","Foods","Beverages ","Percent","4.5298404479999999","2006","15.89427377"
"44","Foods","Beverages ","Percent","4.5298404479999999","2005","11.603584980000001"
"45","Foods","Beverages ","Percent","4.5298404479999999","2004","5.9083641809999996"
"46","Foods","Beverages ","Percent","4.5298404479999999","2003","13.270683440000001"
"47","Foods","Beverages ","Percent","4.5298404479999999","2002","13.631813129999999"
"48","Foods","Beverages ","Percent","4.5298404479999999","2001","5.6631863500000001"
"49","Foods","Beverages ","Percent","4.5298404479999999","2000","8.1982153830000009"
"50","Foods","Beverages ","Percent","4.5298404479999999","1999",NA
"51","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2023","1.679311086"
"52","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2022","7.383610515"
"53","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2021","11.52879229"
"54","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2020","1.502943599"
"55","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2019","5.6150924179999997"
"56","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2018","-5.9721446240000002"
"57","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2017","-1.361990238"
"58","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2016","4.5496635589999999"
"59","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2015","2.7855329950000001"
"60","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2014","13.68664038"
"61","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2013","1.5406401839999999"
"62","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2012","-12.49626116"
"63","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2011","8.9728068539999999"
"64","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2010","23.56020942"
"65","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2009","5.377713108"
"66","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2008","23.940486929999999"
"67","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2007","9.0252708000000001E-2"
"68","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2006","-3.322911365"
"69","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2005","10.71486073"
"70","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2004","1.853066579"
"71","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2003","38.520074960000002"
"72","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2002","14.64939124"
"73","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2001","9.3556425769999993"
"74","Foods","Cocoa and chocolate","Percent","4.1397451969999999","2000","-7.7504105089999999"
"75","Foods","Cocoa and chocolate","Percent","4.1397451969999999","1999",NA
"76","Foods","Coffee, tea, and spices","Percent","4.676636566","2023","-13.073657770000001"
"77","Foods","Coffee, tea, and spices","Percent","4.676636566","2022","32.19305035"
"78","Foods","Coffee, tea, and spices","Percent","4.676636566","2021","17.648750329999999"
"79","Foods","Coffee, tea, and spices","Percent","4.676636566","2020","-0.96234855799999997"
"80","Foods","Coffee, tea, and spices","Percent","4.676636566","2019","-0.32408009700000001"
"81","Foods","Coffee, tea, and spices","Percent","4.676636566","2018","-6.7499751840000002"
"82","Foods","Coffee, tea, and spices","Percent","4.676636566","2017","9.0888308690000006"
"83","Foods","Coffee, tea, and spices","Percent","4.676636566","2016","-2.6346617929999998"
"84","Foods","Coffee, tea, and spices","Percent","4.676636566","2015","2.8606545520000002"
"85","Foods","Coffee, tea, and spices","Percent","4.676636566","2014","8.7198029659999996"
"86","Foods","Coffee, tea, and spices","Percent","4.676636566","2013","-12.52048546"
"87","Foods","Coffee, tea, and spices","Percent","4.676636566","2012","-10.190617339999999"
"88","Foods","Coffee, tea, and spices","Percent","4.676636566","2011","55.080606539999998"
"89","Foods","Coffee, tea, and spices","Percent","4.676636566","2010","21.407670100000001"
"90","Foods","Coffee, tea, and spices","Percent","4.676636566","2009","-7.5347620409999996"
"91","Foods","Coffee, tea, and spices","Percent","4.676636566","2008","16.480213729999999"
"92","Foods","Coffee, tea, and spices","Percent","4.676636566","2007","14.21487997"
"93","Foods","Coffee, tea, and spices","Percent","4.676636566","2006","11.246950249999999"
"94","Foods","Coffee, tea, and spices","Percent","4.676636566","2005","19.924943549999998"
"95","Foods","Coffee, tea, and spices","Percent","4.676636566","2004","9.4850099239999999"
"96","Foods","Coffee, tea, and spices","Percent","4.676636566","2003","16.981670059999999"
"97","Foods","Coffee, tea, and spices","Percent","4.676636566","2002","2.261840297"
"98","Foods","Coffee, tea, and spices","Percent","4.676636566","2001","-30.248707069999998"
"99","Foods","Coffee, tea, and spices","Percent","4.676636566","2000","-4.4926048229999997"
"100","Foods","Coffee, tea, and spices","Percent","4.676636566","1999",NA
"101","Foods","Dairy","Percent","6.5352951790000002","2023","12.4967668"
"102","Foods","Dairy","Percent","6.5352951790000002","2022","13.414634149999999"
"103","Foods","Dairy","Percent","6.5352951790000002","2021","15.520914019999999"
"104","Foods","Dairy","Percent","6.5352951790000002","2020","-2.9414528710000001"
"105","Foods","Dairy","Percent","6.5352951790000002","2019","5.8437360119999999"
"106","Foods","Dairy","Percent","6.5352951790000002","2018","10.030644629999999"
"107","Foods","Dairy","Percent","6.5352951790000002","2017","-2.471046592"
"108","Foods","Dairy","Percent","6.5352951790000002","2016","-1.045682598"
"109","Foods","Dairy","Percent","6.5352951790000002","2015","2.667678794"
"110","Foods","Dairy","Percent","6.5352951790000002","2014","11.83675944"
"111","Foods","Dairy","Percent","6.5352951790000002","2013","2.79890288"
"112","Foods","Dairy","Percent","6.5352951790000002","2012","6.7971506560000003"
"113","Foods","Dairy","Percent","6.5352951790000002","2011","11.49792162"
"114","Foods","Dairy","Percent","6.5352951790000002","2010","-0.45810551199999999"
"115","Foods","Dairy","Percent","6.5352951790000002","2009","-15.17924292"
"116","Foods","Dairy","Percent","6.5352951790000002","2008","6.3166311300000002"
"117","Foods","Dairy","Percent","6.5352951790000002","2007","6.7653126559999999"
"118","Foods","Dairy","Percent","6.5352951790000002","2006","1.2460386059999999"
"119","Foods","Dairy","Percent","6.5352951790000002","2005","7.4363537879999999"
"120","Foods","Dairy","Percent","6.5352951790000002","2004","16.391966140000001"
"121","Foods","Dairy","Percent","6.5352951790000002","2003","10.06145916"
"122","Foods","Dairy","Percent","6.5352951790000002","2002","1.3054830289999999"
"123","Foods","Dairy","Percent","6.5352951790000002","2001","7.9692074159999997"
"124","Foods","Dairy","Percent","6.5352951790000002","2000","-0.85993765499999997"
"125","Foods","Dairy","Percent","6.5352951790000002","1999",NA
"126","Foods","Fish and shellfish ","Percent","4.0714855190000003","2023","-15.69368446"
"127","Foods","Fish and shellfish ","Percent","4.0714855190000003","2022","6.1730573900000003"
"128","Foods","Fish and shellfish ","Percent","4.0714855190000003","2021","30.44205462"
"129","Foods","Fish and shellfish ","Percent","4.0714855190000003","2020","-2.360178355"
"130","Foods","Fish and shellfish ","Percent","4.0714855190000003","2019","-2.1316332939999998"
"131","Foods","Fish and shellfish ","Percent","4.0714855190000003","2018","4.4442985620000002"
"132","Foods","Fish and shellfish ","Percent","4.0714855190000003","2017","10.740583040000001"
"133","Foods","Fish and shellfish ","Percent","4.0714855190000003","2016","4.0197476449999998"
"134","Foods","Fish and shellfish ","Percent","4.0714855190000003","2015","-7.6789587849999998"
"135","Foods","Fish and shellfish ","Percent","4.0714855190000003","2014","12.759568829999999"
"136","Foods","Fish and shellfish ","Percent","4.0714855190000003","2013","7.9963564600000003"
"137","Foods","Fish and shellfish ","Percent","4.0714855190000003","2012","4.9211999999999999E-2"
"138","Foods","Fish and shellfish ","Percent","4.0714855190000003","2011","13.38251807"
"139","Foods","Fish and shellfish ","Percent","4.0714855190000003","2010","12.23760815"
"140","Foods","Fish and shellfish ","Percent","4.0714855190000003","2009","-7.0306210470000003"
"141","Foods","Fish and shellfish ","Percent","4.0714855190000003","2008","3.5535110830000001"
"142","Foods","Fish and shellfish ","Percent","4.0714855190000003","2007","2.4579974529999999"
"143","Foods","Fish and shellfish ","Percent","4.0714855190000003","2006","10.74390635"
"144","Foods","Fish and shellfish ","Percent","4.0714855190000003","2005","6.6079612470000004"
"145","Foods","Fish and shellfish ","Percent","4.0714855190000003","2004","2.2688975039999999"
"146","Foods","Fish and shellfish ","Percent","4.0714855190000003","2003","8.9990264270000004"
"147","Foods","Fish and shellfish ","Percent","4.0714855190000003","2002","3.1045295089999998"
"148","Foods","Fish and shellfish ","Percent","4.0714855190000003","2001","-2.1913399060000001"
"149","Foods","Fish and shellfish ","Percent","4.0714855190000003","2000","11.512675229999999"
"150","Foods","Fish and shellfish ","Percent","4.0714855190000003","1999",NA
"151","Foods","Fruits","Percent","7.4154296259999999","2023","2.003128851"
"152","Foods","Fruits","Percent","7.4154296259999999","2022","14.34827735"
"153","Foods","Fruits","Percent","7.4154296259999999","2021","15.50021929"
"154","Foods","Fruits","Percent","7.4154296259999999","2020","0.81701032200000001"
"155","Foods","Fruits","Percent","7.4154296259999999","2019","3.7266732569999999"
"156","Foods","Fruits","Percent","7.4154296259999999","2018","6.553362474"
"157","Foods","Fruits","Percent","7.4154296259999999","2017","7.1256144020000001"
"158","Foods","Fruits","Percent","7.4154296259999999","2016","7.4576207620000003"
"159","Foods","Fruits","Percent","7.4154296259999999","2015","7.8437188229999997"
"160","Foods","Fruits","Percent","7.4154296259999999","2014","8.7786707340000003"
"161","Foods","Fruits","Percent","7.4154296259999999","2013","8.4846074300000005"
"162","Foods","Fruits","Percent","7.4154296259999999","2012","4.7033640669999999"
"163","Foods","Fruits","Percent","7.4154296259999999","2011","12.365933549999999"
"164","Foods","Fruits","Percent","7.4154296259999999","2010","10.513523299999999"
"165","Foods","Fruits","Percent","7.4154296259999999","2009","-2.5284042219999998"
"166","Foods","Fruits","Percent","7.4154296259999999","2008","7.1487982719999996"
"167","Foods","Fruits","Percent","7.4154296259999999","2007","19.638403180000001"
"168","Foods","Fruits","Percent","7.4154296259999999","2006","11.5726789"
"169","Foods","Fruits","Percent","7.4154296259999999","2005","16.284099860000001"
"170","Foods","Fruits","Percent","7.4154296259999999","2004","7.2313418079999998"
"171","Foods","Fruits","Percent","7.4154296259999999","2003","9.6027273090000005"
"172","Foods","Fruits","Percent","7.4154296259999999","2002","8.4849391799999996"
"173","Foods","Fruits","Percent","7.4154296259999999","2001","0.65197744999999996"
"174","Foods","Fruits","Percent","7.4154296259999999","2000","-3.0519223150000001"
"175","Foods","Fruits","Percent","7.4154296259999999","1999",NA
"176","Foods","Grains","Percent","7.3096752819999997","2023","7.307542432"
"177","Foods","Grains","Percent","7.3096752819999997","2022","28.99280224"
"178","Foods","Grains","Percent","7.3096752819999997","2021","9.2543438130000002"
"179","Foods","Grains","Percent","7.3096752819999997","2020","6.6266530030000004"
"180","Foods","Grains","Percent","7.3096752819999997","2019","3.7480171449999999"
"181","Foods","Grains","Percent","7.3096752819999997","2018","11.33385313"
"182","Foods","Grains","Percent","7.3096752819999997","2017","6.6792936879999996"
"183","Foods","Grains","Percent","7.3096752819999997","2016","1.4497763319999999"
"184","Foods","Grains","Percent","7.3096752819999997","2015","0.123169006"
"185","Foods","Grains","Percent","7.3096752819999997","2014","-2.4186979759999998"
"186","Foods","Grains","Percent","7.3096752819999997","2013","12.851842299999999"
"187","Foods","Grains","Percent","7.3096752819999997","2012","12.606346719999999"
"188","Foods","Grains","Percent","7.3096752819999997","2011","12.92102"
"189","Foods","Grains","Percent","7.3096752819999997","2010","3.9671013629999998"
"190","Foods","Grains","Percent","7.3096752819999997","2009","-11.36563645"
"191","Foods","Grains","Percent","7.3096752819999997","2008","29.975245409999999"
"192","Foods","Grains","Percent","7.3096752819999997","2007","20.512292970000001"
"193","Foods","Grains","Percent","7.3096752819999997","2006","15.847554580000001"
"194","Foods","Grains","Percent","7.3096752819999997","2005","5.863948325"
"195","Foods","Grains","Percent","7.3096752819999997","2004","11.210259000000001"
"196","Foods","Grains","Percent","7.3096752819999997","2003","7.7818775709999999"
"197","Foods","Grains","Percent","7.3096752819999997","2002","11.5369046"
"198","Foods","Grains","Percent","7.3096752819999997","2001","9.2906650939999995"
"199","Foods","Grains","Percent","7.3096752819999997","2000","2.9373814039999999"
"200","Foods","Grains","Percent","7.3096752819999997","1999",NA
"201","Foods","Live meat animals","Percent","4.6300718310000004","2023","21.939650019999998"
"202","Foods","Live meat animals","Percent","4.6300718310000004","2022","9.1640920759999993"
"203","Foods","Live meat animals","Percent","4.6300718310000004","2021","6.5118650349999996"
"204","Foods","Live meat animals","Percent","4.6300718310000004","2020","-4.230103422"
"205","Foods","Live meat animals","Percent","4.6300718310000004","2019","11.045938489999999"
"206","Foods","Live meat animals","Percent","4.6300718310000004","2018","0.63991269399999995"
"207","Foods","Live meat animals","Percent","4.6300718310000004","2017","-4.1417023300000002"
"208","Foods","Live meat animals","Percent","4.6300718310000004","2016","-24.147880969999999"
"209","Foods","Live meat animals","Percent","4.6300718310000004","2015","-7.8475038220000002"
"210","Foods","Live meat animals","Percent","4.6300718310000004","2014","37.366450550000003"
"211","Foods","Live meat animals","Percent","4.6300718310000004","2013","-8.2116787999999996E-2"
"212","Foods","Live meat animals","Percent","4.6300718310000004","2012","16.200169639999999"
"213","Foods","Live meat animals","Percent","4.6300718310000004","2011","-6.0183339980000001"
"214","Foods","Live meat animals","Percent","4.6300718310000004","2010","21.244337059999999"
"215","Foods","Live meat animals","Percent","4.6300718310000004","2009","-26.954641720000001"
"216","Foods","Live meat animals","Percent","4.6300718310000004","2008","-12.42658423"
"217","Foods","Live meat animals","Percent","4.6300718310000004","2007","19.152854510000001"
"218","Foods","Live meat animals","Percent","4.6300718310000004","2006","29.904306219999999"
"219","Foods","Live meat animals","Percent","4.6300718310000004","2005","47.403685090000003"
"220","Foods","Live meat animals","Percent","4.6300718310000004","2004","-11.153755779999999"
"221","Foods","Live meat animals","Percent","4.6300718310000004","2003","-25.94117988"
"222","Foods","Live meat animals","Percent","4.6300718310000004","2002","-2.6705058720000001"
"223","Foods","Live meat animals","Percent","4.6300718310000004","2001","24.820295980000001"
"224","Foods","Live meat animals","Percent","4.6300718310000004","2000","19.273766500000001"
"225","Foods","Live meat animals","Percent","4.6300718310000004","1999",NA
