"","group","type","units","Average inflation","year","amount"
"1","Imported food prices ","Live meat animals ","Dollars",NA,"2023","349.73933319999998"
"2","Imported food prices ","Live meat animals ","Dollars",NA,"2022","308.3873188"
"3","Imported food prices ","Live meat animals ","Dollars",NA,"2021","272.25769759999997"
"4","Imported food prices ","Live meat animals ","Dollars",NA,"2020","291.67398919999999"
"5","Imported food prices ","Live meat animals ","Dollars",NA,"2019","315.56757060000001"
"6","Imported food prices ","Live meat animals ","Dollars",NA,"2018","284.76384309999997"
"7","Imported food prices ","Live meat animals ","Dollars",NA,"2017","273.77670339999997"
"8","Imported food prices ","Live meat animals ","Dollars",NA,"2016","286.66066899999998"
"9","Imported food prices ","Live meat animals ","Dollars",NA,"2015","361.88847700000002"
"10","Imported food prices ","Live meat animals ","Dollars",NA,"2014","415.97765670000001"
"11","Imported food prices ","Live meat animals ","Dollars",NA,"2013","315.25916539999997"
"12","Imported food prices ","Live meat animals ","Dollars",NA,"2012","277.1245796"
"13","Imported food prices ","Live meat animals ","Dollars",NA,"2011","239.61283929999999"
"14","Imported food prices ","Live meat animals ","Dollars",NA,"2010","250.97529259999999"
"15","Imported food prices ","Live meat animals ","Dollars",NA,"2009","198.2634731"
"16","Imported food prices ","Live meat animals ","Dollars",NA,"2008","196.07910989999999"
"17","Imported food prices ","Live meat animals ","Dollars",NA,"2007","208.38198"
"18","Imported food prices ","Live meat animals ","Dollars",NA,"2006","197.71517"
"19","Imported food prices ","Live meat animals ","Dollars",NA,"2005","168.00811909999999"
"20","Imported food prices ","Live meat animals ","Dollars",NA,"2004","114.9671103"
"21","Imported food prices ","Live meat animals ","Dollars",NA,"2003","138.42267330000001"
"22","Imported food prices ","Live meat animals ","Dollars",NA,"2002","207.62625109999999"
"23","Imported food prices ","Live meat animals ","Dollars",NA,"2001","228.3033217"
"24","Imported food prices ","Live meat animals ","Dollars",NA,"2000","217.57796930000001"
"25","Imported food prices ","Live meat animals ","Dollars",NA,"1999","196.37197939999999"
"26","Imported food prices ","Meats","Dollars per metric ton",NA,"2023","6335.0765959999999"
"27","Imported food prices ","Meats","Dollars per metric ton",NA,"2022","6388.8863849999998"
"28","Imported food prices ","Meats","Dollars per metric ton",NA,"2021","6351.1964950000001"
"29","Imported food prices ","Meats","Dollars per metric ton",NA,"2020","5503.5242989999997"
"30","Imported food prices ","Meats","Dollars per metric ton",NA,"2019","5385.0737959999997"
"31","Imported food prices ","Meats","Dollars per metric ton",NA,"2018","5079.782561"
"32","Imported food prices ","Meats","Dollars per metric ton",NA,"2017","4803.1172200000001"
"33","Imported food prices ","Meats","Dollars per metric ton",NA,"2016","4705.8307759999998"
"34","Imported food prices ","Meats","Dollars per metric ton",NA,"2015","5142.9380279999996"
"35","Imported food prices ","Meats","Dollars per metric ton",NA,"2014","5197.244506"
"36","Imported food prices ","Meats","Dollars per metric ton",NA,"2013","4662.5490900000004"
"37","Imported food prices ","Meats","Dollars per metric ton",NA,"2012","4672.452491"
"38","Imported food prices ","Meats","Dollars per metric ton",NA,"2011","4531.2967479999998"
"39","Imported food prices ","Meats","Dollars per metric ton",NA,"2010","3709.6609549999998"
"40","Imported food prices ","Meats","Dollars per metric ton",NA,"2009","3190.8814170000001"
"41","Imported food prices ","Meats","Dollars per metric ton",NA,"2008","3584.9511120000002"
"42","Imported food prices ","Meats","Dollars per metric ton",NA,"2007","3296.5237689999999"
"43","Imported food prices ","Meats","Dollars per metric ton",NA,"2006","3222.072017"
"44","Imported food prices ","Meats","Dollars per metric ton",NA,"2005","3200.6566130000001"
"45","Imported food prices ","Meats","Dollars per metric ton",NA,"2004","3109.2322749999998"
"46","Imported food prices ","Meats","Dollars per metric ton",NA,"2003","2667.8719940000001"
"47","Imported food prices ","Meats","Dollars per metric ton",NA,"2002","2519.7058820000002"
"48","Imported food prices ","Meats","Dollars per metric ton",NA,"2001","2604.7735619999999"
"49","Imported food prices ","Meats","Dollars per metric ton",NA,"2000","2425.5116910000002"
"50","Imported food prices ","Meats","Dollars per metric ton",NA,"1999","2264.8652400000001"
"51","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2023","8811.4806410000001"
"52","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2022","9549.4185099999995"
"53","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2021","9100.032776"
"54","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2020","7798.593046"
"55","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2019","8229.5292389999995"
"56","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2018","8192.5849639999997"
"57","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2017","8134.1826229999997"
"58","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2016","7541.7270410000001"
"59","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2015","7416.4162960000003"
"60","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2014","8185.1020410000001"
"61","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2013","7477.4217959999996"
"62","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2012","6973.3220410000004"
"63","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2011","7017.1384719999996"
"64","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2010","6198.4201540000004"
"65","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2009","5756.5871459999998"
"66","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2008","6182.0120870000001"
"67","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2007","5880.5042460000004"
"68","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2006","5667.7328719999996"
"69","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2005","5391.7122040000004"
"70","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2004","5246.9882360000001"
"71","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2003","5224.6223419999997"
"72","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2002","5248.5381660000003"
"73","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2001","5505.5264360000001"
"74","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"2000","5774.6215439999996"
"75","Imported food prices ","Fish and shellfish","Dollars per metric ton",NA,"1999","5280.6055550000001"
"76","Imported food prices ","Dairy","Dollars per metric ton",NA,"2023","7299.2088229999999"
"77","Imported food prices ","Dairy","Dollars per metric ton",NA,"2022","6745.5134600000001"
"78","Imported food prices ","Dairy","Dollars per metric ton",NA,"2021","6435.2750809999998"
"79","Imported food prices ","Dairy","Dollars per metric ton",NA,"2020","5606.948969"
"80","Imported food prices ","Dairy","Dollars per metric ton",NA,"2019","5539.302447"
"81","Imported food prices ","Dairy","Dollars per metric ton",NA,"2018","5523.9010989999997"
"82","Imported food prices ","Dairy","Dollars per metric ton",NA,"2017","4979.291553"
"83","Imported food prices ","Dairy","Dollars per metric ton",NA,"2016","4864.2263759999996"
"84","Imported food prices ","Dairy","Dollars per metric ton",NA,"2015","5335.3057200000003"
"85","Imported food prices ","Dairy","Dollars per metric ton",NA,"2014","6232.848935"
"86","Imported food prices ","Dairy","Dollars per metric ton",NA,"2013","6036.2371890000004"
"87","Imported food prices ","Dairy","Dollars per metric ton",NA,"2012","5694.710685"
"88","Imported food prices ","Dairy","Dollars per metric ton",NA,"2011","6189.1223730000002"
"89","Imported food prices ","Dairy","Dollars per metric ton",NA,"2010","5503.2679740000003"
"90","Imported food prices ","Dairy","Dollars per metric ton",NA,"2009","4738.7955179999999"
"91","Imported food prices ","Dairy","Dollars per metric ton",NA,"2008","5272.9676140000001"
"92","Imported food prices ","Dairy","Dollars per metric ton",NA,"2007","4173.5261399999999"
"93","Imported food prices ","Dairy","Dollars per metric ton",NA,"2006","3822.9534950000002"
"94","Imported food prices ","Dairy","Dollars per metric ton",NA,"2005","3694.5183609999999"
"95","Imported food prices ","Dairy","Dollars per metric ton",NA,"2004","3780.866004"
"96","Imported food prices ","Dairy","Dollars per metric ton",NA,"2003","3313.3393019999999"
"97","Imported food prices ","Dairy","Dollars per metric ton",NA,"2002","3057.8963319999998"
"98","Imported food prices ","Dairy","Dollars per metric ton",NA,"2001","3078.2071099999998"
"99","Imported food prices ","Dairy","Dollars per metric ton",NA,"2000","3104.3419720000002"
"100","Imported food prices ","Dairy","Dollars per metric ton",NA,"1999","3113.4538149999998"
"101","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2023","1430.6772940000001"
"102","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2022","1333.615679"
"103","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2021","1261.416708"
"104","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2020","1269.5774899999999"
"105","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2019","1187.889574"
"106","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2018","1150.4946070000001"
"107","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2017","1144.64066"
"108","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2016","1172.1633200000001"
"109","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2015","1153.7345379999999"
"110","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2014","1136.4886770000001"
"111","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2013","1188.9976939999999"
"112","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2012","1147.4176660000001"
"113","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2011","1142.653775"
"114","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2010","1075.1838740000001"
"115","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2009","1027.6803809999999"
"116","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2008","1061.894892"
"117","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2007","1007.746224"
"118","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2006","1000.711442"
"119","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2005","950.16056920000005"
"120","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2004","919.92350710000005"
"121","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2003","855.56154600000002"
"122","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2002","788.6655399"
"123","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2001","810.83033899999998"
"124","Imported food prices ","Vegetables","Dollars per metric ton",NA,"2000","794.44139849999999"
"125","Imported food prices ","Vegetables","Dollars per metric ton",NA,"1999","758.73752899999999"
"126","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2023","1817.180906"
"127","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2022","1789.635636"
"128","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2021","1606.5095980000001"
"129","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2020","1446.8628160000001"
"130","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2019","1464.293165"
"131","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2018","1395.1639849999999"
"132","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2017","1351.7292500000001"
"133","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2016","1295.5943090000001"
"134","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2015","1241.7261719999999"
"135","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2014","1218.4140279999999"
"136","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2013","1150.939734"
"137","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2012","1137.9148029999999"
"138","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2011","1156.1528020000001"
"139","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2010","1061.2621919999999"
"140","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2009","1026.717922"
"141","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2008","1023.579065"
"142","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2007","941.11846449999996"
"143","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2006","856.92927859999998"
"144","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2005","797.94969739999999"
"145","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2004","713.37495809999996"
"146","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2003","676.22706659999994"
"147","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2002","638.78049390000001"
"148","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2001","624.30931850000002"
"149","Imported food prices ","Fruits ","Dollars per metric ton",NA,"2000","608.33824200000004"
"150","Imported food prices ","Fruits ","Dollars per metric ton",NA,"1999","611.80809920000002"
"151","Imported food prices ","Nuts","Dollars per metric ton",NA,"2023","4872.8010830000003"
"152","Imported food prices ","Nuts","Dollars per metric ton",NA,"2022","5348.1185240000004"
"153","Imported food prices ","Nuts","Dollars per metric ton",NA,"2021","5346.5716229999998"
"154","Imported food prices ","Nuts","Dollars per metric ton",NA,"2020","5388.8672640000004"
"155","Imported food prices ","Nuts","Dollars per metric ton",NA,"2019","5945.5362160000004"
"156","Imported food prices ","Nuts","Dollars per metric ton",NA,"2018","6311.8454320000001"
"157","Imported food prices ","Nuts","Dollars per metric ton",NA,"2017","6057.085169"
"158","Imported food prices ","Nuts","Dollars per metric ton",NA,"2016","5583.3495430000003"
"159","Imported food prices ","Nuts","Dollars per metric ton",NA,"2015","5454.9576189999998"
"160","Imported food prices ","Nuts","Dollars per metric ton",NA,"2014","4993.6534799999999"
"161","Imported food prices ","Nuts","Dollars per metric ton",NA,"2013","4697.5105679999997"
"162","Imported food prices ","Nuts","Dollars per metric ton",NA,"2012","4532.1849499999998"
"163","Imported food prices ","Nuts","Dollars per metric ton",NA,"2011","5210.2908280000001"
"164","Imported food prices ","Nuts","Dollars per metric ton",NA,"2010","4086.3852390000002"
"165","Imported food prices ","Nuts","Dollars per metric ton",NA,"2009","3590.730337"
"166","Imported food prices ","Nuts","Dollars per metric ton",NA,"2008","3979.6700059999998"
"167","Imported food prices ","Nuts","Dollars per metric ton",NA,"2007","3351.4893619999998"
"168","Imported food prices ","Nuts","Dollars per metric ton",NA,"2006","3374.462861"
"169","Imported food prices ","Nuts","Dollars per metric ton",NA,"2005","3436.1408879999999"
"170","Imported food prices ","Nuts","Dollars per metric ton",NA,"2004","3221.0274789999999"
"171","Imported food prices ","Nuts","Dollars per metric ton",NA,"2003","2502.7428199999999"
"172","Imported food prices ","Nuts","Dollars per metric ton",NA,"2002","2106.1334940000002"
"173","Imported food prices ","Nuts","Dollars per metric ton",NA,"2001","2121.5574550000001"
"174","Imported food prices ","Nuts","Dollars per metric ton",NA,"2000","2588.6683739999999"
"175","Imported food prices ","Nuts","Dollars per metric ton",NA,"1999","2919.8234649999999"
"176","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2023","5295.3350849999997"
"177","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2022","5377.7602850000003"
"178","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2021","4188.0064830000001"
"179","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2020","3701.853987"
"180","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2019","3552.9744089999999"
"181","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2018","3779.8193849999998"
"182","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2017","3983.2615759999999"
"183","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2016","3717.371858"
"184","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2015","3950.115687"
"185","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2014","3928.612005"
"186","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2013","3657.4988020000001"
"187","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2012","4322.2211209999996"
"188","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2011","4821.736973"
"189","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2010","3306.7665999999999"
"190","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2009","2830.6637409999998"
"191","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2008","2965.5135770000002"
"192","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2007","2588.5785289999999"
"193","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2006","2297.945768"
"194","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2005","2161.412358"
"195","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2004","1789.4826700000001"
"196","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2003","1674.5772589999999"
"197","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2002","1501.070009"
"198","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2001","1500.625078"
"199","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"2000","1995.015071"
"200","Imported food prices ","Coffee, tea, and spices","Dollars per metric ton",NA,"1999","2183.1344279999998"
"201","Imported food prices ","Grains","Dollars per metric ton",NA,"2023","1491.29009"
"202","Imported food prices ","Grains","Dollars per metric ton",NA,"2022","1524.853306"
"203","Imported food prices ","Grains","Dollars per metric ton",NA,"2021","1320.053451"
"204","Imported food prices ","Grains","Dollars per metric ton",NA,"2020","1154.569632"
"205","Imported food prices ","Grains","Dollars per metric ton",NA,"2019","1110.0798990000001"
"206","Imported food prices ","Grains","Dollars per metric ton",NA,"2018","1003.4629619999999"
"207","Imported food prices ","Grains","Dollars per metric ton",NA,"2017","925.20229099999995"
"208","Imported food prices ","Grains","Dollars per metric ton",NA,"2016","935.07880880000005"
"209","Imported food prices ","Grains","Dollars per metric ton",NA,"2015","920.73239230000001"
"210","Imported food prices ","Grains","Dollars per metric ton",NA,"2014","886.81766070000003"
"211","Imported food prices ","Grains","Dollars per metric ton",NA,"2013","788.78955740000004"
"212","Imported food prices ","Grains","Dollars per metric ton",NA,"2012","856.55167119999999"
"213","Imported food prices ","Grains","Dollars per metric ton",NA,"2011","946.71430789999999"
"214","Imported food prices ","Grains","Dollars per metric ton",NA,"2010","830.51589839999997"
"215","Imported food prices ","Grains","Dollars per metric ton",NA,"2009","779.61088770000003"
"216","Imported food prices ","Grains","Dollars per metric ton",NA,"2008","789.38473339999996"
"217","Imported food prices ","Grains","Dollars per metric ton",NA,"2007","670.22518190000005"
"218","Imported food prices ","Grains","Dollars per metric ton",NA,"2006","632.27661209999997"
"219","Imported food prices ","Grains","Dollars per metric ton",NA,"2005","641.38194599999997"
"220","Imported food prices ","Grains","Dollars per metric ton",NA,"2004","610.93554900000004"
"221","Imported food prices ","Grains","Dollars per metric ton",NA,"2003","587.76863319999995"
"222","Imported food prices ","Grains","Dollars per metric ton",NA,"2002","479.34818849999999"
"223","Imported food prices ","Grains","Dollars per metric ton",NA,"2001","404.37605719999999"
"224","Imported food prices ","Grains","Dollars per metric ton",NA,"2000","415.20351460000001"
